,zip,num_results,restaurant_ids,necessary,checked_this_month
264,01101,0,,True,False
265,01102,0,,True,False
266,01103,0,,True,False
267,01104,0,,True,False
268,01105,0,,True,False
269,01106,0,,True,False
270,01107,0,,True,False
271,01108,0,,True,False
272,01109,0,,True,False
273,01111,0,,True,False
274,01115,0,,True,False
275,01116,0,,True,False
276,01118,0,,True,False
277,01119,0,,True,False
278,01128,0,,True,False
279,01129,0,,True,False
280,01138,0,,True,False
281,01139,0,,True,False
282,01144,0,,True,False
283,01151,0,,True,False
284,01152,0,,True,False
285,01199,0,,True,False
286,01201,0,,True,False
287,01202,0,,True,False
288,01203,0,,True,False
289,01220,0,,True,False
290,01222,0,,True,False
291,01223,0,,True,False
292,01224,0,,True,False
293,01225,0,,True,False
294,01226,0,,True,False
295,01227,0,,True,False
296,01229,0,,True,False
297,01230,0,,True,False
298,01235,0,,True,False
299,01236,0,,True,False
300,01237,0,,True,False
301,01238,0,,True,False
302,01240,0,,True,False
303,01242,0,,True,False
304,01243,0,,True,False
305,01244,0,,True,False
306,01245,0,,True,False
307,01247,0,,True,False
308,01252,0,,True,False
309,01253,0,,True,False
310,01254,0,,True,False
311,01255,0,,True,False
312,01256,0,,True,False
313,01257,0,,True,False
314,01258,0,,True,False
315,01259,0,,True,False
316,01260,0,,True,False
317,01262,0,,True,False
318,01263,0,,True,False
319,01264,0,,True,False
320,01266,0,,True,False
321,01267,0,,True,False
322,01270,0,,True,False
323,01301,0,,True,False
324,01302,0,,True,False
325,01330,0,,True,False
326,01331,0,,True,False
327,01337,0,,True,False
328,01338,0,,True,False
329,01339,0,,True,False
330,01340,0,,True,False
331,01341,0,,True,False
332,01342,0,,True,False
333,01343,0,,True,False
334,01344,0,,True,False
335,01346,0,,True,False
336,01347,0,,True,False
337,01349,0,,True,False
338,01350,0,,True,False
339,01351,0,,True,False
340,01354,0,,True,False
341,01355,0,,True,False
342,01360,0,,True,False
343,01364,0,,True,False
344,01366,0,,True,False
345,01367,0,,True,False
346,01368,0,,True,False
347,01370,0,,True,False
348,01373,0,,True,False
349,01375,0,,True,False
350,01376,0,,True,False
351,01378,0,,True,False
352,01379,0,,True,False
353,01380,0,,True,False
354,01420,0,,True,False
355,01430,0,,True,False
356,01431,0,,True,False
357,01432,0,,True,False
358,01434,0,,True,False
359,01436,0,,True,False
360,01438,0,,True,False
361,01440,0,,True,False
362,01441,0,,True,False
363,01450,0,,True,False
364,01451,0,,True,False
365,01452,0,,True,False
366,01453,0,,True,False
367,01460,0,,True,False
368,01462,0,,True,False
369,01463,0,,True,False
370,01464,0,,True,False
371,01467,0,,True,False
372,01468,0,,True,False
373,01469,0,,True,False
374,01472,0,,True,False
375,01473,0,,True,False
376,01474,0,,True,False
377,01475,0,,True,False
378,01501,0,,True,False
379,01503,0,,True,False
380,01504,0,,True,False
381,01505,0,,True,False
382,01506,0,,True,False
383,01507,0,,True,False
384,01508,0,,True,False
385,01509,0,,True,False
386,01510,0,,True,False
387,01515,0,,True,False
388,01516,0,,True,False
389,01518,0,,True,False
390,01519,0,,True,False
391,01520,0,,True,False
392,01521,0,,True,False
393,01522,0,,True,False
394,01523,0,,True,False
395,01524,0,,True,False
396,01525,0,,True,False
397,01526,0,,True,False
398,01527,0,,True,False
399,01529,0,,True,False
400,01531,0,,True,False
401,01532,0,,True,False
402,01534,0,,True,False
403,01535,0,,True,False
404,01536,0,,True,False
405,01537,0,,True,False
406,01538,0,,True,False
407,01540,0,,True,False
408,01541,0,,True,False
409,01542,0,,True,False
410,01543,0,,True,False
411,01545,0,,True,False
412,01546,0,,True,False
