,lat,lon,radius,region,num_results,checked_this_month
117,42.46756,-124.4136,14.7,Lower 48,0,False
118,42.34789,-124.36322,14.7,Lower 48,0,False
119,42.22822,-124.31302,14.7,Lower 48,0,False
120,42.10854,-124.26299,14.7,Lower 48,0,False
121,41.98887,-124.21313,14.7,Lower 48,0,False
122,41.86919,-124.16344,14.7,Lower 48,0,False
123,41.7495,-124.11392,14.7,Lower 48,0,False
124,41.62982,-124.06457,14.7,Lower 48,0,False
125,41.51013,-124.01539,14.7,Lower 48,0,False
126,41.39044,-123.96637,14.7,Lower 48,0,False
127,41.27074,-123.91752,14.7,Lower 48,0,False
128,41.15103,-123.86883,14.7,Lower 48,0,False
129,41.03132,-123.82031,14.7,Lower 48,0,False
130,40.91161,-123.77195,14.7,Lower 48,0,False
131,40.79189,-123.72376,14.7,Lower 48,0,False
132,40.67216,-123.67572,14.7,Lower 48,0,False
133,40.55242,-123.62785,14.7,Lower 48,0,False
134,40.43267,-123.58015,14.7,Lower 48,0,False
135,40.31291,-123.5326,14.7,Lower 48,0,False
136,40.19315,-123.48521,14.7,Lower 48,0,False
137,40.07337,-123.43798,14.7,Lower 48,0,False
138,39.95359,-123.3909,14.7,Lower 48,0,False
139,39.83379,-123.34399,14.7,Lower 48,0,False
140,39.71398,-123.29723,14.7,Lower 48,0,False
141,39.59416,-123.25062,14.7,Lower 48,0,False
142,39.47433,-123.20417,14.7,Lower 48,0,False
143,39.35448,-123.15787,14.7,Lower 48,0,False
144,39.23463,-123.11172,14.7,Lower 48,0,False
145,39.11475,-123.06573,14.7,Lower 48,0,False
146,38.99487,-123.01989,14.7,Lower 48,0,False
147,38.87497,-122.9742,14.7,Lower 48,0,False
148,38.75505,-122.92866,14.7,Lower 48,0,False
149,38.63512,-122.88326,14.7,Lower 48,0,False
150,38.51517,-122.83802,14.7,Lower 48,0,False
151,38.39521,-122.79293,14.7,Lower 48,0,False
152,38.27523,-122.74798,14.7,Lower 48,0,False
153,38.15523,-122.70318,14.7,Lower 48,0,False
154,38.03521,-122.65853,14.7,Lower 48,0,False
155,37.91518,-122.61402,14.7,Lower 48,0,False
156,37.79513,-122.56965,14.7,Lower 48,0,False
157,37.67505,-122.52543,14.7,Lower 48,0,False
158,37.55496,-122.48135,14.7,Lower 48,0,False
159,37.43485,-122.43742,14.7,Lower 48,0,False
160,37.31472,-122.39362,14.7,Lower 48,0,False
161,37.19457,-122.34997,14.7,Lower 48,0,False
162,37.07439,-122.30646,14.7,Lower 48,0,False
163,43.03823,-124.4996,14.7,Lower 48,0,False
164,42.9185,-124.44866,14.7,Lower 48,0,False
165,42.79876,-124.39789,14.7,Lower 48,0,False
166,42.67903,-124.3473,14.7,Lower 48,0,False
167,42.5593,-124.29689,14.7,Lower 48,0,False
168,42.43957,-124.24665,14.7,Lower 48,0,False
169,42.31983,-124.19658,14.7,Lower 48,0,False
170,42.2001,-124.14668,14.7,Lower 48,0,False
171,42.08036,-124.09695,14.7,Lower 48,0,False
172,41.96063,-124.0474,14.7,Lower 48,0,False
173,41.84089,-123.99801,14.7,Lower 48,0,False
174,41.72115,-123.9488,14.7,Lower 48,0,False
175,41.6014,-123.89975,14.7,Lower 48,0,False
176,41.48165,-123.85086,14.7,Lower 48,0,False
177,41.3619,-123.80214,14.7,Lower 48,0,False
178,41.24214,-123.75359,14.7,Lower 48,0,False
179,41.12238,-123.70521,14.7,Lower 48,0,False
180,41.00261,-123.65698,14.7,Lower 48,0,False
181,40.88284,-123.60891,14.7,Lower 48,0,False
182,40.76306,-123.56101,14.7,Lower 48,0,False
